applicant_income,coapplicant_income,loan_amount,gender,married,dependents,education,self_employed,property_area,loan_amount_term,credit_history,loan_status
5849.0,0.0,147.8,Male,No,0,Graduate,No,Urban,360,1,Y
4583.0,1508.0,128.0,Male,Yes,1,Graduate,No,Rural,360,1,N
3000.0,0.0,66.0,Male,Yes,0,Graduate,Yes,Urban,360,1,Y
2583.0,2358.0,120.0,Male,Yes,0,Not Graduate,No,Urban,360,1,Y
6000.0,0.0,141.0,Male,No,0,Graduate,No,Urban,360,1,Y
5417.0,4196.0,267.0,Male,Yes,2,Graduate,Yes,Urban,360,1,Y
2333.0,1516.0,95.0,Male,Yes,0,Not Graduate,No,Urban,360,1,Y
3036.0,2504.0,158.0,Male,Yes,3+,Graduate,No,Semiurban,360,0,N
4006.0,1526.0,168.0,Male,Yes,2,Graduate,No,Urban,360,1,Y
12841.0,10968.0,349.0,Male,Yes,1,Graduate,No,Semiurban,360,1,N
3200.0,700.0,70.0,Male,Yes,2,Graduate,No,Urban,360,1,Y
2500.0,1840.0,109.0,Male,Yes,2,Graduate,No,Urban,360,1,Y
3073.0,8106.0,200.0,Male,Yes,2,Graduate,No,Urban,360,1,Y
1853.0,2840.0,114.0,Male,No,0,Graduate,No,Rural,360,1,N
1299.0,1086.0,17.0,Male,Yes,2,Graduate,No,Urban,120,1,Y
4950.0,0.0,125.0,Male,No,0,Graduate,No,Urban,360,1,Y
3596.0,0.0,100.0,Male,No,1,Not Graduate,No,Urban,240,1,Y
3510.0,0.0,76.0,Female,No,0,Graduate,No,Urban,360,0,N
4887.0,0.0,133.0,Male,Yes,0,Not Graduate,No,Rural,360,1,N
2600.0,3500.0,115.0,Male,Yes,0,Graduate,No,Urban,360,1,Y
7660.0,0.0,104.0,Male,Yes,0,Not Graduate,No,Urban,360,0,N
5955.0,5625.0,315.0,Male,Yes,1,Graduate,No,Urban,360,1,Y
2600.0,1911.0,116.0,Male,Yes,0,Not Graduate,No,Semiurban,360,0,N
3365.0,1917.0,112.0,Male,Yes,2,Not Graduate,No,Rural,360,0,N
3717.0,2925.0,151.0,Male,Yes,1,Graduate,No,Semiurban,360,1,N
9560.0,0.0,191.0,Male,Yes,0,Graduate,Yes,Semiurban,360,1,Y
2799.0,2253.0,122.0,Male,Yes,0,Graduate,No,Semiurban,360,1,Y
4226.0,1040.0,110.0,Male,Yes,2,Not Graduate,No,Urban,360,1,Y
1442.0,0.0,35.0,Male,No,0,Not Graduate,No,Urban,360,1,N
3750.0,2083.0,120.0,Female,No,2,Graduate,No,Semiurban,360,1,Y
4166.0,3369.0,201.0,Male,Yes,1,Graduate,No,Urban,360,1,N
3167.0,0.0,74.0,Male,No,0,Graduate,No,Urban,360,1,N
4692.0,0.0,106.0,Male,No,1,Graduate,Yes,Rural,360,1,N
3500.0,1667.0,114.0,Male,Yes,0,Graduate,No,Semiurban,360,1,Y
12500.0,3000.0,320.0,Male,No,3+,Graduate,No,Rural,360,1,N
2275.0,2067.0,95.0,Male,Yes,0,Graduate,No,Urban,360,1,Y
1828.0,1330.0,100.0,Male,Yes,0,Graduate,No,Urban,360,0,N
3667.0,1459.0,144.0,Female,Yes,0,Graduate,No,Semiurban,360,1,Y
4166.0,7210.0,184.0,Male,No,0,Graduate,No,Urban,360,1,Y
3748.0,1668.0,110.0,Male,No,0,Not Graduate,No,Semiurban,360,1,Y
3600.0,0.0,80.0,Male,No,0,Graduate,No,Urban,360,1,N
1800.0,1213.0,47.0,Male,No,0,Graduate,No,Urban,360,1,Y
2400.0,0.0,75.0,Male,Yes,0,Graduate,No,Urban,360,0,Y
3941.0,2336.0,134.0,Male,Yes,0,Graduate,No,Semiurban,360,1,Y
4695.0,0.0,96.0,Male,Yes,0,Not Graduate,Yes,Urban,360,1,Y
3410.0,0.0,88.0,Female,No,0,Graduate,No,Urban,360,1,Y
5649.0,0.0,44.0,Male,Yes,1,Graduate,No,Urban,360,1,Y
5821.0,0.0,144.0,Male,Yes,0,Graduate,No,Urban,360,1,Y
2645.0,3440.0,120.0,Female,Yes,0,Graduate,No,Urban,360,0,N
4000.0,2275.0,144.0,Female,No,0,Graduate,No,Semiurban,360,1,Y
1928.0,1644.0,100.0,Female,Yes,0,Not Graduate,No,Semiurban,360,1,Y
3086.0,0.0,120.0,Female,No,0,Graduate,No,Semiurban,360,1,Y
4230.0,0.0,112.0,Female,No,0,Graduate,No,Semiurban,360,1,N
4616.0,0.0,134.0,Male,Yes,2,Graduate,No,Urban,360,1,N
11500.0,0.0,286.0,Female,Yes,1,Graduate,Yes,Urban,360,0,N
2708.0,1167.0,97.0,Male,Yes,2,Graduate,No,Semiurban,360,1,Y
2132.0,1591.0,96.0,Male,Yes,0,Graduate,No,Semiurban,360,1,Y
3366.0,2200.0,135.0,Male,Yes,0,Graduate,No,Rural,360,1,N
8080.0,2250.0,180.0,Male,Yes,1,Graduate,No,Urban,360,1,Y
3357.0,2859.0,144.0,Male,Yes,2,Not Graduate,No,Urban,360,1,Y
2500.0,3796.0,120.0,Male,Yes,0,Graduate,No,Urban,360,1,Y
3029.0,0.0,99.0,Male,Yes,3+,Graduate,No,Urban,360,1,Y
2609.0,3449.0,165.0,Male,Yes,0,Not Graduate,Yes,Rural,180,0,N
4945.0,0.0,130.2,Male,Yes,1,Graduate,No,Rural,360,0,N
4166.0,0.0,116.0,Female,No,0,Graduate,No,Semiurban,360,0,N
5726.0,4595.0,258.0,Male,Yes,0,Graduate,No,Semiurban,360,1,N
3200.0,2254.0,126.0,Male,No,0,Not Graduate,No,Urban,180,0,N
10750.0,0.0,312.0,Male,Yes,1,Graduate,No,Urban,360,1,Y
7100.0,0.0,125.0,Male,Yes,3+,Not Graduate,Yes,Urban,60,1,Y
4300.0,0.0,136.0,Female,No,0,Graduate,No,Semiurban,360,0,N
3208.0,3066.0,172.0,Male,Yes,0,Graduate,No,Urban,360,1,Y
1875.0,1875.0,97.0,Male,Yes,2,Not Graduate,Yes,Semiurban,360,1,Y
3500.0,0.0,81.0,Male,No,0,Graduate,No,Semiurban,300,1,Y
4755.0,0.0,95.0,Male,Yes,3+,Not Graduate,No,Semiurban,360,0,N
5266.0,1774.0,187.0,Male,Yes,3+,Graduate,Yes,Semiurban,360,1,Y
3750.0,0.0,113.0,Male,No,0,Graduate,No,Urban,480,1,N
3750.0,4750.0,176.0,Male,No,0,Graduate,No,Urban,360,1,N
1000.0,3022.0,110.0,Male,Yes,1,Graduate,Yes,Urban,360,1,N
3167.0,4000.0,180.0,Male,Yes,3+,Graduate,No,Semiurban,300,0,N
3333.0,2166.0,130.0,Male,Yes,3+,Not Graduate,Yes,Semiurban,360,1,Y
3846.0,0.0,111.0,Female,No,0,Graduate,No,Semiurban,360,1,Y
2395.0,0.0,52.8,Male,Yes,1,Graduate,Yes,Semiurban,360,1,Y
1378.0,1881.0,167.0,Female,Yes,2,Graduate,No,Urban,360,1,N
6000.0,2250.0,265.0,Male,Yes,0,Graduate,No,Semiurban,360,1,N
3988.0,0.0,50.0,Male,Yes,1,Graduate,No,Urban,240,1,Y
2366.0,2531.0,136.0,Male,No,0,Graduate,No,Semiurban,360,1,Y
3333.0,2000.0,99.0,Male,Yes,2,Not Graduate,No,Semiurban,360,1,Y
2500.0,2118.0,104.0,Male,Yes,0,Graduate,No,Semiurban,360,1,Y
8566.0,0.0,210.0,Male,No,0,Graduate,No,Urban,360,1,Y
5695.0,4167.0,175.0,Male,Yes,0,Graduate,No,Semiurban,360,1,Y
2958.0,2900.0,131.0,Male,Yes,0,Graduate,No,Semiurban,360,1,Y
